zh-CN,zh-TW,en-US,fr-FR,de-DE,it-IT,pt-PT,es-ES,ja-JP,ko-KR
#Boot,,,,,,,,,
正在读取[?],正在讀取[?],Loading [?],Chargement [?],Lädt [?],Caricamento [?],Carregando [?],Cargando [?],[?]読み込み中,파일을 읽는 중 [?]
正在解压[?],正在解壓[?],Extracting [?],Extraction [?],Entpacke [?],Estrazione [?],Descompactando [?],Descomprimiendo [?],[?]解凍中,압축을 해제 중 [?]
正在初始化,正在初始化,Initializing,Initialisation,Initialisiere,Inizializzazione,Inicializando,Inicializando,初期化中,초기화 중
正在读取数据,正在讀取數據,Loading Data,Chargement des données,Lade Daten,Caricamento Dati,Carregando Dados,Leyendo datos,読み込み中,읽는 중
正在进入游戏,正在進入遊戲,Entering Game,Entrée dans le jeu,Spiel wird gestartet,Entrando in Gioco,Entrando no Jogo,Entrando al juego,ゲーム開始,게임 시작
#Menu,,,,,,,,,
人机模式,人機模式,SOLO,SOLO,EINZELSPIEL,COMPUTER,MODO IA,MODO IA,ＡＩ対戦,AI 모드
联机模式,聯機模式,ONLINE,EN LIGNE,ONLINE,ONLINE,MODO ONLINE,MODO ONLINE,ネット対戦,온라인 모드
残局模式,殘局模式,PUZZLE,PUZZLE,RÄTSEL,PUZZLE,DESAFIOS,MODO PUZLE,詰めデュエル,퍼즐 모드
观看回放,觀看回放,REPLAYS,REPLAYS,WIEDERHOLUNGEN,REPLAY,REPLAYS,REPETICIONES,リプレイ,리플레이 열람
观看动画,觀看動畫,CUT-IN,ANIMATIONS,ANIMATION,ANIMAZIONI,ANIMAÇÕES,ANIMACIONES,演出鑑賞,라이브 2D 열람
查看伙伴,查看夥伴,MATES,PARTENAIRES,BEGLEITER,ASSISTENTI,COLEGAS,COMPAÑEROS,メイト,메이트 열람
编辑卡组,編輯牌組,DECK,DECK,DECK,DECK,DECK,EDITAR DECK,デッキ編集,덱 편집
游戏设置,遊戲設置,SETTINGS,PARAMÈTRES,EINSTELLUNGEN,IMPOSTAZIONI,CONFIGURAÇÕES,AJUSTES,ゲーム設定,게임 설정
退出游戏,退出遊戲,EXIT,QUITTER,BEENDEN,CHIUDI,SAIR,SALIR,ゲーム終了,게임 종료
检测到新版本[[?]]。,檢測到新版本[[?]]。,A new Version has been Detected[[?]].,Une nouvelle version a été détectée[[?]].,Eine neue Version wurde erkannt[[?]].,Nuova versione individuata [[?]].,Nova versão detectada [[?]].,Se ha detectado una nueva versión[[?]].,新バージョン[[?]]が見つかりました。,새 버전이 감지되었습니다 [[?]]。
检查更新失败！,檢查更新失敗！,Failed to Check for Updates!,Impossible de vérifier les mises à jour !,Update-Prüfung fehlgeschlagen!,Errore controllo aggiornamenti. Controlla la tua connessione a internet.,Falha ao verificar atualizações!,Fallo al verificar actualizaciones. Comprueba tu conexión a internet.,新バージョンチェック失敗！,업데이트 확인 실패!
确认退出,确認退出,Confirm Exit,Confirmez la fermeture,Beenden bestätigen,Confermare Uscita?,Confirmar Saída,Confirmar Salida,ゲーム終了確認,게임 종료 확인
即将退出应用程序，@n是否确认？,即將退出應用程序，@n是否确認？,Are You Sure You Want to Exit the Game?,Êtes-vous sûr de vouloir quitter le jeu ?,Möchtest du das Spiel wirklich beenden?,Sicuro di Volere Uscire?,Realmente deseja sair?,¿Realmente desea salir del juego?,ゲームは終了しますか？,게임을 종료하겠습니까?
#SubMenu,,,,,,,,,
副菜单,副菜單,Sub Menu,Sous-menu,Untermenü,Sottomenu,Submenu,Submenú,サブメニュー,서브 메뉴
#Solo,,,,,,,,,
人机概述,人機槪述,AI Deck Description,Description du Deck IA,KI-Deckbeschreibung,Descrizione Deck IA,Visão Geral da IA,Descripción del bot,デッキ説明,덱 설명
AI始终出剪刀,AI始終出翦刀,Always Plays Scissors (AI),L'IA joue toujours les ciseaux,Spielt immer Schere (KI),Sempre Forbice (IA),IA Sempre Joga Tesoura,La IA siempre elegirá tijeras,チョキ固定（ＡＩ）,가위 고정 (AI)
AI猜拳随机,AI猜拳隨機,Random Finger-Guessing (AI),Pierre-feuille-ciseau aléatoire,Zufälliges Finger-Raten (KI),Selezione Casuale (IA),IA Escolhe Aleatoriamente,"Piedra, papel o tijeras al azar vs la IA",ランダムじゃんけん（ＡＩ）,랜덤 가위바위보 (AI)
不检查卡组,不檢查牌組,No Deck-Check,Pas de vérification du Deck,Kein Deck-Check,Non Controllare Il Deck,Não Verificar Deck,No revisar deck,チェックなし,덱 확인 없음
检查卡组,檢查卡組,Deck-Check,Vérification du Deck,Deck-Check,Controlla Deck,Verificar Deck,Revizar deck,デッキチェック,덱 확인
不洗切卡组,不洗切牌組,No Shuffle,Pas de mélange,Kein Mischen,Non Mischiare il Deck,Não Embaralhar Deck,No barajar deck,シャッフルなし,덱 셔플 없음
洗切卡组,洗切卡組,Shuffle,Mélange,Mischen,Mischia il Deck,Embaralhar Deck,Barajar deck,デッキシャッフル,덱 셔플
端口：,端口：,Port:,Port:,Port:,Porta:,Porta:,Puerto:,ＰＯＲＴ：,포트：
基本分：,基本分：,Life Points:,Point de vie :,Lebenspunkte:,Life Points:,Pontos de Vida:,LP Iniciales:,ＬＰ：,초기 LP：
初始手牌数：,初始手牌數：,Starting Hand:,Main de départ :,Starthand:,Mano Iniziale:,Mão Inicial:,Mano Inicial:,初期手札枚数：,시작 패 장수：
每回合抽卡：,每回合抽牌：,Cards per Draw:,Cartes par pioche :,Karten pro Ziehung:,Carte Per Mano:,Comprar por Turno:,Cartas por Robo:,毎ターンドロー枚数：,매 턴 드로우 장수：
请先为AI选择有效的卡组。,請先為AI選擇有效的卡組。,Please Select a valid deck for AI.,Veuillez sélectionner un Deck valide pour l'IA.,Bitte wähle ein gültiges Deck für die KI.,Seleziona Un Deck Valido Per L'IA.,Selecione um Deck válido para a IA primeiro.,Selecciona un deck válido para la IA,使用できるＡＩデッキを選択してください。,사용할 수 있는 AI 덱을 선택하세요.
端口被占用， 请尝试修改端口后再尝试。端口号应大于0，小于65535。,端口被佔用，請嘗試修改端口後再嘗試。 端口號應大於0，小於65535。,The port is occupied. Please try modifying the port before attempting again. The port number should be greater than 0 and less than 65535.,Le port est occupé. Veuillez essayer de modifier le port avant de réessayer. Le numéro de port doit être supérieur à 0 et inférieur à 65535.,Der Port ist bereits belegt. Bitte versuche einen anderen Port (zwischen 1 und 65535).,Questa porta è occupata. Modificala prima di riprovare. Il numero della porta dovrebbe essere maggiore di 0 e minore di 65535.,Porta ocupada. Altere a porta e tente novamente. A porta deve ser maior que 0 e menor que 65535.,El puerto está ocupado. Intente modificar el puerto antes de volver a intentarlo. El número de puerto debe ser mayor que 0 y menor que 65535.,ポートが占有されています、ポートを変更して再試行してください。ポートナンバーは０から６５５３６までです。,포트가 사용 중입니다. 포트를 변경한 후 다시 시도하십시오. 포트 번호는 0보다 크고 65535보다 작아야 합니다.
#Online,,,,,,,,,
对战昵称：,對戰暱稱：,Player Name:,Nom du joueur :,Spielername:,Nome Giocatore:,Apelido:,Apodo:,ゲーム名：,게임명：
主机地址：,主機地址：,Host IP:,IP de l'hôte :,Host-IP:,IP Host:,Servidor:,Servidor:,ＩＰ：,IP：
主机端口：,主機端口：,Port:,Port:,Port:,Porta:,Porta do Servidor:,Puerto del servidor:,ＰＯＲＴ：,포트：
主机密码：,主機密碼：,Password:,Mot de passe:,Passwort:,Password:,Senha:,Contraseña:,パスワード：,비밀번호：
保存预设,保存預設,Save Preset,Enregistrer les réglages,Voreinstellung speichern,Salva Configurazione.,Salvar Predefinição,Guardar Servidor,設定保存,설정 저장
请输入预设名称,請輸入預設名稱,Please Enter a Preset Name,Veuillez entrer un nom de réglages,Bitte gib einen Namen für die Voreinstellung ein,Inserisci un Nome per la Configurazione,Digite um nome para a Predefinição.,Ingresa el nombre del servidor,名前を入力,이름 입력
创建主机,創建主機,Create Host,Créer une salle,Host erstellen,Ospita una partita,Criar Sala,Crear Sala,部屋を建てる,방 만들기
加入游戏,加入遊戲,Join Game,Rejoindre la partie,Spiel beitreten,Unisciti a una partita,Entrar na Sala,Unirse al Juego,ゲーム開始,게임 시작
传统联机,傳統聯機,Online,En ligne,Online,Online,ONLINE,ONLINE,ＯＮＬＩＮＥ対戦,온라인 대전
本地主机,本地主機,LAN,LAN,LAN,LAN,LAN,LAN,ＬＡＮ対戦,LAN 대전
账号：,帳號：,Account:,Compte:,Konto:,Account:,Conta:,Usuario:,アカウント：,계정：
密码：,密碼：,Password:,Mot de passe:,Passwort:,Password:,Senha:,Contraseña:,パスワード：,비밀번호：
注册,註冊,Register,S'inscrire,Registrieren,Registrati,Registrar,Registrarse,登録,등록
登录,登入,Login,Connexion,Anmelden,Accedi,Login,Iniciar Sesión,ログイン,로그인
登录失败：,登入失敗：,Login Failed:,Échec de la connexion :,Anmeldung fehlgeschlagen:,Accesso Fallito:,Falha no Login:,Error de inicio de sesión:,ログイン失敗：,로그인 실패：
请检查网络连接,請檢查網絡連接,Please Check Your Network Connection,Veuillez vérifier votre connexion réseau,Bitte überprüfe deine Internetverbindung,Controlla la tua Connessione a Internet,Verifique sua conexão,Por favor verifique su conexión de red,ネットワーク接続を確認してください,네트워크 연결을 확인하세요
退出登录,登出,Log Out,Se déconnecter,Abmelden,Disconnetti,Logout,Cerrar Sesión,ログアウト,로그아웃
是否确认退出登录？,是否確認登出？,Do You Want To Log Out?,Êtes-vous sûr de vous déconnecter ?,Möchtest du dich abmelden?,Vuoi Disconnetterti?,Deseja sair da conta?,¿Estás seguro que quieres cerrar la sesión?,ログアウトしますか？,로그아웃하시겠습니까?
账号不能为空,帳號不能為空,Account Field Cannot be Empty,Le compte ne peut pas être vide,Das Konto-Feld darf nicht leer sein,La voce Account non può essere vuota,Apelido não pode estar vazio.,El usuario no puede estar vacío,アカウントを空白にすることはできません,계정은 비워 둘 수 없습니다
密码不能少于6位,密碼不能少於6位,The Password Cannot be Less Than 6 Characters,Le mot de passe ne peut pas comporter moins de 6 caractères,Das Passwort muss mindestens 6 Zeichen lang sein,La password non può avere meno di 6 caratteri,Senha deve conter pelo menos 6 caracteres.,La contraseña no puede tener menos de 6 caracteres,パスワードは６数字未満にすることはできません,비밀번호는 6자리 이상이어야 합니다
经验值,經驗值,Experience Points,EXP,Erfahrungspunkte,Punti Esperienza,EXP,EXP,経験値,경험치
竞技胜场,競技勝場,Ranked Duels Wins,Victoires classées,Ranglisten-Siege,Vittorie partita Classificata,Vitórias Competitivas,Victorias Competitivas,試合勝利数,시합 승리 수
竞技胜率,競技勝率,Ranked Winning %,Taux de Victoires Classées %,Ranglisten-Siegquote,Percentuale di Vittoria in Classificata,Taxa de Vitórias,% Victorias Competitivas,試合勝率,시합 승률
竞技排名,競技排名,Ranked Duels Ranking,Classement Classé,Ranglistenplatz,Posizione in Classifica,Ranking Competitivo,Ranking Competitivo,試合ランキング,시합 순위
娱乐总场,娛樂總場,Casual Duels Played,Jeux Occasionnels,Freundschaftsspiele gespielt,Partite Casuali Giocate,Partidas Casuais,Victorias Casuales,フリー試合数,자유 시합 수
娱乐排名,娛樂排名,Casual Duels Ranking,Classement Occasionnel,Platzierung in Freundschaftsspielen,Posizione partite Casuali,Ranking Casual,Ranking Casual,フリーランキング,자유 순위
